"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","142","SF",31,"PHO",82,52,2687,311,617,0.504,43,127,0.339,268,490,0.547,251,343,0.732,194,475,669,127,55,31,114,146,916,14.2,0.596,0.539,0.556,0.206,8.3,20.4,14.3,6.5,1,0.8,12.9,14.2,120,110,4.6,2.1,6.7,0.12,0,0
"2","Aaron McKie","237","SG",22,"POR",45,20,827,116,261,0.444,11,28,0.393,105,233,0.451,50,73,0.685,35,94,129,89,36,16,39,97,293,13.3,0.5,0.466,0.28,0.107,4.6,13.5,8.8,15.9,2.2,1.4,11.7,17,109,105,0.8,1.2,2,0.115,0,0
"3","Aaron Swinson","354","SF",24,"PHO",9,0,51,10,18,0.556,0,0,NA,10,18,0.556,4,5,0.8,3,5,8,3,1,0,5,8,24,11.7,0.594,0.556,0.278,0,6.7,11.3,9,9,1,0,19.8,21.4,103,114,0,0,0,0.039,0,0
"4","Aaron Williams","386","PF",23,"MIL",15,0,72,8,24,0.333,0,1,0,8,23,0.348,8,12,0.667,5,14,19,0,2,6,7,14,24,7,0.41,0.333,0.5,0.042,8.1,24.1,15.9,0,1.4,6.2,19.3,22.3,78,105,-0.2,0.1,-0.1,-0.067,0,0
"5","Acie Earl","102","C",24,"BOS",30,3,208,26,68,0.382,0,0,NA,26,68,0.382,14,29,0.483,19,26,45,2,6,8,14,39,66,6.6,0.409,0.382,0.426,0,10.4,14.6,12.5,1.4,1.5,2.6,14.8,19.7,85,109,-0.4,0.2,-0.2,-0.038,0,0
"6","Adam Keefe","187","SF",24,"UTA",75,0,1270,172,298,0.577,0,0,NA,172,298,0.577,117,173,0.676,135,192,327,30,36,25,62,141,461,15.1,0.616,0.577,0.581,0,14,18,16.1,3.5,1.5,1.6,14.2,15.6,120,106,2.4,1.7,4.1,0.154,0,0
"7","Adrian Caldwell","53","PF",28,"HOU",7,0,30,1,4,0.25,0,0,NA,1,4,0.25,3,6,0.5,1,9,10,0,1,0,1,6,5,4.4,0.377,0.25,1.5,0,4,32.8,19.1,0,1.7,0,13.1,11.4,79,102,0,0.1,0,0.02,0,0
"8","Alaa Abdelnaby","1","PF",26,"TOT",54,0,506,118,231,0.511,0,2,0,118,229,0.515,20,35,0.571,37,77,114,13,15,12,45,104,256,12.6,0.519,0.511,0.152,0.009,8.7,17.4,13.1,5,1.5,1.8,15.4,25.6,94,105,-0.4,0.7,0.3,0.027,0,0
"9","Allan Houston","167","SG",23,"DET",76,39,1996,398,859,0.463,158,373,0.424,240,486,0.494,147,171,0.86,29,138,167,164,61,14,113,182,1101,16.4,0.589,0.555,0.199,0.434,1.7,8.1,4.9,14.3,1.6,0.5,10.8,23.5,113,116,3.5,0.3,3.8,0.091,0,0
"10","Alonzo Mourning","252","C",24,"CHH",77,77,2941,571,1101,0.519,11,34,0.324,560,1067,0.525,490,644,0.761,200,561,761,111,49,225,241,275,1643,20.1,0.593,0.524,0.585,0.031,8.4,21.6,15.3,6.6,0.9,5.5,14.8,25.6,110,102,4.3,5.1,9.4,0.153,0,0
"11","Alphonso Ford","122","SG",23,"PHI",5,0,98,9,39,0.231,0,9,0,9,30,0.3,1,2,0.5,8,12,20,9,1,0,8,5,19,0.4,0.238,0.231,0.051,0.231,9.4,14.4,11.9,14.1,0.5,0,16.7,21.8,62,113,-0.5,0,-0.4,-0.21,0,0
"12","Alton Lister","209","C",36,"MIL",60,32,776,66,134,0.493,0,1,0,66,133,0.496,35,70,0.5,67,169,236,12,16,57,38,146,167,10.2,0.507,0.493,0.522,0.007,10.1,27,18.3,2.3,1.1,5.5,18.7,11.6,99,106,0,1,1,0.062,0,0
"13","Andres Guibert","144","PF",26,"MIN",17,0,167,16,47,0.34,0,4,0,16,43,0.372,13,19,0.684,16,29,45,10,8,1,12,29,45,8.3,0.406,0.34,0.404,0.085,11.9,21.1,16.5,9.8,2.5,0.4,17.8,18.4,87,108,-0.2,0.2,-0.1,-0.02,0,0
"14","Andrew Lang","202","C",28,"ATL",82,63,2340,320,677,0.473,2,3,0.667,318,674,0.472,152,188,0.809,154,302,456,72,45,144,108,271,794,13.1,0.523,0.474,0.278,0.004,7.5,15.4,11.3,5,1,4.6,12.4,16.8,106,105,1.4,3.4,4.9,0.1,0,0
"15","Anfernee Hardaway","149","PG",23,"ORL",77,77,2901,585,1142,0.512,87,249,0.349,498,893,0.558,356,463,0.769,139,197,336,551,130,26,258,158,1613,20.8,0.599,0.55,0.405,0.218,5.7,7.5,6.6,28.5,2.3,0.6,16.1,23.7,119,110,8.2,2.5,10.7,0.177,73,901
"16","Anthony Avent","18","PF",25,"ORL",71,3,1066,105,244,0.43,0,0,NA,105,244,0.43,48,75,0.64,97,196,293,41,28,50,53,170,258,9.8,0.466,0.43,0.307,0,10.7,20.4,15.7,5,1.3,3.2,16.1,13.3,100,105,0.1,1.5,1.5,0.069,0,0
"17","Anthony Bonner","35","PF",26,"NYK",58,23,1126,88,193,0.456,1,5,0.2,87,188,0.463,44,67,0.657,113,149,262,80,48,23,79,159,221,9.4,0.497,0.459,0.347,0.026,12.2,15,13.7,10.5,2.2,1.5,26.2,12.3,98,102,-0.2,2,1.8,0.079,0,0
"18","Anthony Bowie","36","SG",31,"ORL",77,4,1261,177,369,0.48,12,40,0.3,165,329,0.502,61,73,0.836,54,85,139,159,47,21,86,138,427,11.7,0.532,0.496,0.198,0.108,5.1,7.5,6.3,17.3,1.9,1.1,17.7,16.6,107,110,1,1,2,0.077,0,0
"19","Anthony Mason","229","PF",28,"NYK",77,11,2496,287,507,0.566,0,1,0,287,506,0.567,191,298,0.641,182,468,650,240,69,21,123,253,765,14.9,0.599,0.566,0.588,0.002,8.9,21.2,15.3,15,1.5,0.6,16.2,14,119,102,4.2,4.4,8.6,0.166,0,0
"20","Anthony Miller","240","PF",23,"LAL",46,1,527,70,132,0.53,2,5,0.4,68,127,0.535,47,76,0.618,67,85,152,35,20,7,38,77,189,14.7,0.571,0.538,0.576,0.038,14.1,17.8,15.9,9.6,1.9,0.9,18.7,16.6,111,108,0.6,0.6,1.2,0.111,0,0
"21","Anthony Peeler","274","SG",25,"LAL",73,24,1559,285,659,0.432,84,216,0.389,201,443,0.454,102,128,0.797,62,106,168,122,52,13,82,143,756,13.8,0.528,0.496,0.194,0.328,4.4,7.5,6,12.2,1.7,0.6,10.3,22,108,113,1.6,0.8,2.4,0.073,0,0
"22","Anthony Tucker","364","SF",25,"WSB",62,13,982,96,210,0.457,0,1,0,96,209,0.459,51,83,0.614,44,126,170,68,46,11,56,129,243,9.2,0.493,0.457,0.395,0.005,5,15.3,10,9.9,2.4,0.8,18.5,13.5,97,110,-0.2,0.9,0.6,0.03,0,0
"23","Antoine Carr","56","C",33,"UTA",78,4,1677,290,546,0.531,1,4,0.25,289,542,0.533,165,201,0.821,81,184,265,67,24,68,87,253,746,13.9,0.588,0.532,0.368,0.007,6.4,13,9.9,6.2,0.7,3.3,12.1,19.5,113,108,2.4,1.9,4.3,0.123,0,0
