"","X","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"60",60,"Dan Roundfield",227,"PF",26,"ATL",81,NA,2588,502,1007,0.499,0,4,0,502,1003,0.5,330,465,0.71,293,544,837,184,101,139,233,317,1334,19.7,0.551,0.499,0.462,0.004,12.1,22.7,17.3,11.3,1.9,3.2,16.1,22.8,108,98,4,5.1,9.1,0.169,147,147
"72",72,"Dennis Johnson",132,"SG",25,"SEA",81,NA,2937,574,1361,0.422,12,58,0.207,562,1303,0.431,380,487,0.78,173,241,414,332,144,82,227,267,1540,15.9,0.489,0.426,0.358,0.043,6.2,8.7,7.4,16.1,2.3,1.5,12.6,24.2,104,102,3,4.4,7.4,0.12,31.5,31.5
"95",95,"George Gervin",98,"SG",27,"SAS",78,NA,2934,1024,1940,0.528,32,102,0.314,992,1838,0.54,505,593,0.852,154,249,403,202,110,79,254,208,2585,24,0.587,0.536,0.306,0.053,5.7,8.9,7.3,11,1.6,1.4,10.3,31.7,115,110,9.3,1.3,10.6,0.173,19,19
"105",105,"Gus Williams",278,"PG",26,"SEA",82,NA,2969,739,1533,0.482,7,36,0.194,732,1497,0.489,331,420,0.788,127,148,275,397,200,37,181,160,1816,20.6,0.529,0.484,0.274,0.023,4.5,5.3,4.9,20.7,3.2,0.7,9.5,25.2,113,102,7.2,4.4,11.6,0.187,15,15
"150",150,"Julius Erving",85,"SF",29,"PHI",78,NA,2812,838,1614,0.519,4,20,0.2,834,1594,0.523,420,534,0.787,215,361,576,355,170,140,284,208,2100,25.4,0.568,0.52,0.331,0.012,8.6,12.9,10.9,21.4,2.8,2.7,13.3,30.3,111,99,7.3,5.2,12.5,0.213,2,2
"152",152,"Kareem Abdul-Jabbar",1,"C",32,"LAL",82,NA,3143,835,1383,0.604,0,1,0,835,1382,0.604,364,476,0.765,190,696,886,371,81,280,297,216,2034,25.3,0.639,0.604,0.344,0.001,7.2,22.2,15.4,16.5,1.2,4.6,15.7,24.1,118,100,9.5,5.3,14.8,0.227,2,2
"161",161,"Larry Bird",18,"PF",23,"BOS",82,82,2955,693,1463,0.474,58,143,0.406,635,1320,0.481,301,360,0.836,216,636,852,370,143,53,263,279,1745,20.5,0.538,0.494,0.246,0.098,8.3,23.6,16,18.5,2.3,1,14,25.3,109,98,5.6,5.6,11.2,0.182,2,2
"198",198,"Moses Malone",174,"C",24,"HOU",82,NA,3140,778,1549,0.502,0,6,0,778,1543,0.504,563,783,0.719,573,617,1190,147,80,107,300,210,2119,24.1,0.56,0.502,0.505,0.004,19.6,22.3,20.9,7.1,1.2,1.9,13.7,27.6,114,106,8.9,3,11.9,0.183,1.5,1.5
"265",265,"Tiny Archibald",4,"PG",31,"BOS",80,80,2864,383,794,0.482,4,18,0.222,379,776,0.488,361,435,0.83,59,138,197,671,106,10,242,218,1131,15.3,0.574,0.485,0.548,0.023,2.3,5.3,3.8,30.2,1.7,0.2,19.7,17,115,105,5.9,2.9,8.9,0.148,1,1
"2",2,"Adrian Dantley",60,"SF",24,"UTA",80,NA,3417,909,1627,0.559,2,7,0.286,907,1620,0.56,632,784,0.806,192,317,509,322,109,18,282,245,2452,24.3,0.622,0.559,0.482,0.004,6.5,10.5,8.5,16.3,1.6,0.3,12.5,28.4,118,111,12.3,1.3,13.6,0.191,28,454
