,X,Player,totals.Pos,totals.Age,totals.Tm,totals.G,totals.GS,totals.MP,totals.FG,totals.FGA,totals.FG.,totals.3P,totals.3PA,totals.3P.,totals.2P,totals.2PA,totals.2P.,totals.FT,totals.FTA,totals.FT.,totals.ORB,totals.DRB,totals.TRB,totals.AST,totals.STL,totals.BLK,totals.TOV,totals.PF,totals.PTS,advanced.PER,advanced.TS.,advanced.eFG.,advanced.FTr,advanced.3PAr,advanced.ORB.,advanced.DRB.,advanced.TRB.,advanced.AST.,advanced.STL.,advanced.BLK.,advanced.TOV.,advanced.USG.,advanced.ORtg,advanced.DRtg,advanced.OWS,advanced.DWS,advanced.WS,advanced.WS.48,Pts.Won
11,11,Allen Iverson,SG,25,PHI,71,71,2979,762,1813,0.42,98,306,0.32,664,1507,0.441,585,719,0.814,50,223,273,325,178,20,237,147,2207,24,0.518,0.447,0.397,0.169,1.9,8.3,5.2,23,3.2,0.5,10,35.9,106,99,7.3,4.5,11.8,0.19,0.347704715
22,22,Anthony Mason,PF,34,MIA,80,80,3254,460,954,0.482,0,0,0,460,954,0.482,370,474,0.781,169,601,770,248,80,25,179,231,1290,17.4,0.555,0.482,0.497,0,6.2,21.9,14.1,14.2,1.4,0.6,13.3,20,109,98,6,5.6,11.6,0.171,0.21898263
78,78,Chris Webber,PF,27,SAC,70,70,2836,786,1635,0.481,2,28,0.071,784,1607,0.488,324,461,0.703,179,598,777,294,93,118,195,226,1898,24.7,0.516,0.481,0.282,0.017,7,22.1,14.8,20.6,1.7,2.8,9.6,31.6,105,97,5.8,5.2,11,0.186,0.179280397
109,109,David Robinson,C,35,SAS,80,80,2371,400,823,0.486,0,1,0,400,822,0.487,351,470,0.747,208,483,691,116,80,197,122,212,1151,23.7,0.559,0.486,0.571,0.001,10.4,22,16.5,8.8,1.8,5.8,10.6,22.8,114,92,6.4,5.7,12.1,0.246,0.161600496
208,208,Jason Kidd,PG,27,PHO,77,76,3065,451,1097,0.411,69,232,0.297,382,865,0.442,328,403,0.814,91,403,494,753,166,23,286,171,1299,19.4,0.51,0.443,0.367,0.211,3.3,15.2,9.1,41.2,2.8,0.5,18.3,22.7,104,97,4.2,5.4,9.6,0.15,0.046836228
218,218,Jerry Stackhouse,SG,26,DET,80,80,3215,774,1927,0.402,166,473,0.351,608,1454,0.418,666,810,0.822,99,216,315,410,97,54,326,160,2380,21.8,0.521,0.445,0.42,0.245,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,104,105,6.6,2.6,9.2,0.137,0.019851117
227,227,John Stockton,PG,38,UTA,82,82,2397,328,651,0.504,61,132,0.462,267,519,0.514,227,278,0.817,54,173,227,713,132,21,203,194,944,22.3,0.61,0.551,0.427,0.203,2.9,8.8,5.9,48.7,2.9,0.7,20.8,18.8,120,103,8.2,2.6,10.8,0.216,0.006513648
235,235,Karl Malone,PF,37,UTA,81,81,2895,670,1345,0.498,2,5,0.4,668,1340,0.499,536,676,0.793,114,555,669,361,93,62,244,216,1878,24.7,0.572,0.499,0.503,0.004,5,23.3,14.3,24.1,1.7,1.7,12.9,30,112,100,9.1,4,13.1,0.217,0.005583127
244,244,Kevin Garnett,PF,24,MIN,81,81,3202,704,1475,0.477,19,66,0.288,685,1409,0.486,357,467,0.764,219,702,921,401,111,145,230,204,1784,23.9,0.531,0.484,0.317,0.045,7.7,25.3,16.4,21.8,1.8,3.2,12,27,108,99,7,4.8,11.8,0.176,0.003411911
249,249,Kobe Bryant,SG,22,LAL,68,68,2783,701,1510,0.464,61,200,0.305,640,1310,0.489,475,557,0.853,104,295,399,338,114,43,220,222,1938,24.5,0.552,0.484,0.369,0.132,4.3,11.8,8.1,23,2.1,1.1,11.1,31.8,112,105,9.2,2.2,11.3,0.196,0.002171216
292,292,Michael Finley,SF,27,DAL,82,82,3443,711,1552,0.458,91,263,0.346,620,1289,0.481,252,325,0.775,109,316,425,360,118,32,190,174,1765,18.2,0.521,0.487,0.209,0.169,3.6,10,6.9,18.3,1.8,0.7,10.1,24.9,105,105,5.6,2.9,8.5,0.119,0.002171216
323,323,Paul Pierce,SF,23,BOS,82,82,3120,687,1513,0.454,147,384,0.383,540,1129,0.478,550,738,0.745,94,428,522,253,138,69,262,251,2071,22.3,0.563,0.503,0.488,0.254,3.4,16.7,9.8,16.9,2.3,1.7,12.5,30.6,107,102,6.9,3.5,10.4,0.16,0.00248139
338,338,Ray Allen,SG,25,MIL,82,82,3129,628,1309,0.48,202,467,0.433,426,842,0.506,348,392,0.888,101,327,428,374,124,20,204,192,1806,22.9,0.61,0.557,0.299,0.357,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,119,106,11.5,2.2,13.7,0.211,0.001550868
373,373,Shaquille O'Neal,C,28,LAL,74,74,2924,813,1422,0.572,0,2,0,813,1420,0.573,499,972,0.513,291,649,940,277,47,204,218,256,2125,30.2,0.574,0.572,0.684,0.001,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,114,101,11.1,3.9,14.9,0.245,0.000930521
398,398,Tim Duncan,PF,24,SAS,82,82,3174,702,1406,0.499,7,27,0.259,695,1379,0.504,409,662,0.618,259,738,997,245,70,192,242,247,1820,23.8,0.536,0.502,0.471,0.019,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,106,94,6.2,7.1,13.2,0.2,0.000310174
412,412,Tracy McGrady,SG,21,ORL,77,77,3087,788,1724,0.457,59,166,0.355,729,1558,0.468,430,587,0.733,192,388,580,352,116,118,198,160,2065,24.9,0.521,0.474,0.34,0.096,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,109,101,8.3,3.9,12.2,0.189,0.000310174
425,425,Vince Carter,SF,24,TOR,75,75,2979,762,1656,0.46,162,397,0.408,600,1259,0.477,384,502,0.765,176,240,416,291,114,82,167,205,2070,25,0.551,0.509,0.303,0.24,6.5,9.3,7.9,19.2,2,1.9,8.2,30.7,114,104,10.3,2.6,12.9,0.208,0.000310174
9,9,Allen Iverson,SG,26,PHI,60,59,2622,665,1669,0.398,78,268,0.291,587,1401,0.419,475,585,0.812,44,225,269,331,168,13,237,102,1883,21.9,0.489,0.422,0.351,0.161,1.9,9.6,5.8,27.6,3.5,0.4,11,37.8,101,100,2.6,4.3,6.9,0.126,0.291208791
35,35,Ben Wallace,C,27,DET,80,80,2921,255,480,0.531,0,3,0,255,477,0.535,99,234,0.423,318,721,1039,115,138,278,70,178,609,18.6,0.522,0.531,0.488,0.006,12.9,28.9,21,6.2,2.5,6.7,10.7,10.5,117,93,4.3,7.2,11.6,0.19,0.273809524
77,77,Chris Webber,PF,28,SAC,54,54,2071,532,1075,0.495,5,19,0.263,527,1056,0.499,253,338,0.749,150,396,546,258,90,76,158,181,1322,24.4,0.54,0.497,0.314,0.018,7.9,20.1,14.1,21.9,2.2,2.4,11.4,29,109,98,4.8,3.9,8.6,0.2,0.212454212
124,124,Dirk Nowitzki,C,23,DAL,76,76,2891,600,1258,0.477,139,350,0.397,461,908,0.508,440,516,0.853,120,635,755,186,83,77,145,222,1779,24.1,0.599,0.532,0.41,0.278,4.7,24,14.5,10.8,1.5,1.9,8.9,25.5,120,104,10.2,3.1,13.4,0.222,0.119047619
143,143,Elton Brand,PF,22,LAC,80,80,3020,532,1010,0.527,0,0,0,532,1010,0.527,389,524,0.742,396,529,925,191,80,163,173,254,1453,23.6,0.586,0.527,0.519,0,15,19.6,17.3,11,1.4,3.7,12.2,21.1,120,103,9.9,3.7,13.6,0.216,0.02991453
159,159,Gary Payton,PG,33,SEA,82,82,3301,737,1578,0.467,74,236,0.314,663,1342,0.494,267,335,0.797,80,316,396,737,131,26,209,179,1815,22.9,0.526,0.49,0.212,0.15,2.9,11.1,7.1,39.4,2.1,0.6,10.8,27.2,114,107,10.1,2.5,12.6,0.183,0.016483516
203,203,Jason Kidd,PG,28,NJN,82,82,3056,445,1138,0.391,117,364,0.321,328,774,0.424,201,247,0.814,130,465,595,808,175,20,286,136,1208,19.1,0.484,0.442,0.217,0.32,4.7,17.2,10.9,42.5,3,0.5,18.7,22.5,103,98,3.1,5.8,8.9,0.14,0.011294261
216,216,Jerry Stackhouse,SF,27,DET,76,76,2685,524,1319,0.397,86,300,0.287,438,1019,0.43,495,577,0.858,77,238,315,403,77,37,266,163,1629,19,0.518,0.43,0.437,0.227,3.4,10.4,6.9,28.4,1.5,1,14.5,32.3,102,105,3.2,2.6,5.8,0.104,0.009462759
